state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.24
,,2002 - 2003,0.21
,,2003 - 2004,0.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2021 - 2022,
,Jajapur,2000 - 2001,0.1
,,2001 - 2002,0.06
,,2002 - 2003,0.46
,,2003 - 2004,0.07
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2020 - 2021,
,Jharsuguda,2000 - 2001,0.07
,,2001 - 2002,0.31
,,2002 - 2003,0.13
,,2003 - 2004,0.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,0.1
,,2001 - 2002,0.14
,,2002 - 2003,0.11
,,2003 - 2004,0.13
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.12
,,2001 - 2002,0.23
,,2002 - 2003,0.11
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,0.45
,,2001 - 2002,0.6
,,2002 - 2003,0.48
,,2003 - 2004,0.47
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendujhar,2000 - 2001,0.11
,,2001 - 2002,0.1
,,2002 - 2003,0.07
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khordha,2000 - 2001,0.39
,,2001 - 2002,0.31
,,2002 - 2003,0.31
,,2003 - 2004,0.27
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koraput,2000 - 2001,0.25
,,2001 - 2002,0.35
,,2002 - 2003,0.31
,,2003 - 2004,0.42
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malkangiri,2000 - 2001,0.1
,,2001 - 2002,0.26
,,2002 - 2003,0.12
,,2003 - 2004,0.21
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,0.19
,,2001 - 2002,0.2
,,2002 - 2003,0.18
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nabarangpur,2000 - 2001,0.11
,,2001 - 2002,0.18
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Nayagarh,2000 - 2001,0.17
,,2001 - 2002,0.22
,,2002 - 2003,0.14
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nuapada,2000 - 2001,0.05
,,2001 - 2002,0.09
,,2002 - 2003,0.03
,,2003 - 2004,0.07
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Puri,2000 - 2001,0.28
,,2001 - 2002,0.2
,,2002 - 2003,0.24
,,2003 - 2004,0.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,0.19
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.28
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sambalpur,2000 - 2001,0.14
,,2001 - 2002,0.26
,,2002 - 2003,0.34
,,2003 - 2004,0.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonepur,2000 - 2001,0.06
,,2001 - 2002,0.1
,,2002 - 2003,0.13
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Sundargarh,2000 - 2001,0.14
,,2001 - 2002,0.19
,,2002 - 2003,0.14
,,2003 - 2004,0.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Puducherry,Karaikal,2004 - 2005,0.06
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pondicherry,2004 - 2005,0.83
,,2005 - 2006,0.8
,,2006 - 2007,
,,2007 - 2008,0.79
,,2008 - 2009,0.64
,,2009 - 2010,0.6
,,2010 - 2011,0.8
,,2011 - 2012,0.67
,,2012 - 2013,0.75
,,2013 - 2014,0.73
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,1.33
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Yanam,2005 - 2006,0.0
Punjab,Amritsar,2000 - 2001,0.39
,,2001 - 2002,0.39
,,2002 - 2003,0.29
,,2003 - 2004,0.34
,,2004 - 2005,0.47
,,2005 - 2006,0.35
,,2006 - 2007,0.38
,,2007 - 2008,0.32
,,2008 - 2009,0.35
,,2009 - 2010,0.38
,,2010 - 2011,0.33
,,2011 - 2012,0.23
,,2012 - 2013,0.33
,,2013 - 2014,0.23
,,2014 - 2015,0.18
,,2015 - 2016,0.26
,,2016 - 2017,0.33
,,2017 - 2018,0.43
,,2018 - 2019,0.17
,,2019 - 2020,0.29
,,2020 - 2021,0.2
,,2021 - 2022,0.27
,,2022 - 2023,0.33
,Bathinda,2000 - 2001,0.1
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,Faridkot,2000 - 2001,0.1
,,2001 - 2002,0.33
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,Fazilka,2015 - 2016,0.3
,,2016 - 2017,0.0
,Firozepur,2000 - 2001,0.63
,,2001 - 2002,0.41
,,2002 - 2003,0.27
,,2003 - 2004,0.44
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.4
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.42
,,2010 - 2011,0.63
,,2011 - 2012,0.46
,,2012 - 2013,0.43
,,2013 - 2014,0.6
,,2014 - 2015,0.25
,,2015 - 2016,0.35
,,2016 - 2017,0.67
,,2017 - 2018,0.5
,,2018 - 2019,0.2
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Gurdaspur,2000 - 2001,0.24
,,2001 - 2002,0.31
,,2002 - 2003,0.33
,,2003 - 2004,0.28
,,2004 - 2005,0.25
,,2005 - 2006,0.21
,,2006 - 2007,0.27
,,2007 - 2008,0.22
,,2008 - 2009,0.25
,,2009 - 2010,0.33
,,2010 - 2011,0.38
,,2011 - 2012,0.13
,,2012 - 2013,0.25
,,2013 - 2014,0.0
,,2015 - 2016,0.4
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,Hoshiarpur,2000 - 2001,0.38
,,2001 - 2002,0.29
,,2002 - 2003,0.25
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.29
,,2006 - 2007,0.13
,,2007 - 2008,0.14
,,2008 - 2009,0.2
,,2009 - 2010,0.2
,,2010 - 2011,0.17
,,2011 - 2012,0.4
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.18
,,2016 - 2017,0.0
,,2018 - 2019,0.33
,,2019 - 2020,0.67
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.25
,Jalandhar,2000 - 2001,0.43
,,2001 - 2002,0.35
,,2002 - 2003,0.33
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.38
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kapurthala,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2017 - 2018,0.0
,Ludhiana,2000 - 2001,0.1
,,2001 - 2002,1.0
,Mansa,2000 - 2001,0.1
,,2001 - 2002,0.33
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.4
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2015 - 2016,0.3
,Moga,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2008 - 2009,0.0
,Muktsar,2000 - 2001,0.45
,,2001 - 2002,0.47
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.33
,,2006 - 2007,0.25
,,2007 - 2008,0.67
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,Nawanshahr,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2005 - 2006,1.0
,Pathankot,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.4
,,2016 - 2017,0.25
,,2017 - 2018,0.5
,,2018 - 2019,0.2
,,2019 - 2020,0.4
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.25
,Rupnagar,2000 - 2001,0.33
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.3
,,2016 - 2017,0.5
,,2017 - 2018,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,1.0
,S.a.s nagar,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,Sangrur,2002 - 2003,0.0
,Tarn taran,2006 - 2007,0.38
,,2007 - 2008,0.31
,,2008 - 2009,0.41
,,2009 - 2010,0.47
,,2010 - 2011,0.43
,,2011 - 2012,0.4
,,2012 - 2013,0.36
,,2013 - 2014,0.4
,,2014 - 2015,0.4
,,2015 - 2016,0.39
,,2016 - 2017,0.33
,,2017 - 2018,0.2
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.67
,,2021 - 2022,0.4
,,2022 - 2023,0.33
Rajasthan,Ajmer,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.05
,,2003 - 2004,0.39
,,2004 - 2005,0.26
,,2005 - 2006,0.06
,,2006 - 2007,0.26
,,2007 - 2008,0.32
,,2008 - 2009,0.24
,,2009 - 2010,0.02
,,2010 - 2011,0.38
,,2011 - 2012,0.16
,,2012 - 2013,0.16
,,2013 - 2014,0.24
,,2014 - 2015,0.22
,,2015 - 2016,0.26
,,2016 - 2017,0.5
,,2017 - 2018,0.37
,,2018 - 2019,0.38
,,2019 - 2020,0.41
,,2020 - 2021,0.34
,,2021 - 2022,0.31
,,2022 - 2023,0.36
,Alwar,2000 - 2001,0.45
,,2001 - 2002,0.29
,,2002 - 2003,0.08
,,2003 - 2004,0.31
,,2004 - 2005,0.32
,,2005 - 2006,0.23
,,2006 - 2007,0.37
,,2007 - 2008,0.53
,,2008 - 2009,0.29
,,2009 - 2010,0.35
,,2010 - 2011,0.37
,,2011 - 2012,0.41
,,2012 - 2013,0.5
,,2013 - 2014,0.28
,,2014 - 2015,0.42
,,2015 - 2016,0.32
,,2016 - 2017,0.35
,,2017 - 2018,0.27
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.67
,,2021 - 2022,0.68
,,2022 - 2023,0.39
,Banswara,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.33
,,2007 - 2008,0.4
,,2008 - 2009,0.29
,,2009 - 2010,0.16
,,2010 - 2011,0.41
,,2011 - 2012,0.32
,,2012 - 2013,0.29
,,2013 - 2014,0.2
,,2014 - 2015,0.34
,,2015 - 2016,0.31
,,2016 - 2017,0.35
,,2017 - 2018,0.27
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.27
,,2022 - 2023,0.36
,Baran,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.37
,,2007 - 2008,0.58
,,2008 - 2009,0.41
,,2009 - 2010,0.58
,,2010 - 2011,0.49
,,2011 - 2012,0.4
,,2012 - 2013,0.36
,,2013 - 2014,0.18
,,2014 - 2015,0.35
,,2015 - 2016,0.29
,,2016 - 2017,0.25
,,2017 - 2018,0.5
,,2018 - 2019,0.41
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.27
,,2022 - 2023,0.36
,Barmer,2000 - 2001,0.09
,,2001 - 2002,0.37
,,2002 - 2003,0.0
,,2003 - 2004,0.57
,,2004 - 2005,0.06
,,2005 - 2006,0.05
,,2006 - 2007,0.06
,,2007 - 2008,0.1
,,2008 - 2009,0.03
,,2009 - 2010,0.01
,,2010 - 2011,0.26
,,2011 - 2012,0.18
,,2012 - 2013,0.23
,,2013 - 2014,0.13
,,2014 - 2015,0.23
,,2015 - 2016,0.04
,,2016 - 2017,0.1
,,2017 - 2018,0.1
,,2018 - 2019,0.14
,,2019 - 2020,0.26
,,2020 - 2021,0.46
,,2021 - 2022,0.04
,,2022 - 2023,0.28
,Bharatpur,2000 - 2001,0.37
,,2001 - 2002,0.52
,,2002 - 2003,0.19
,,2003 - 2004,0.56
,,2004 - 2005,0.44
,,2005 - 2006,0.47
,,2006 - 2007,0.37
,,2007 - 2008,0.4
,,2008 - 2009,0.29
,,2009 - 2010,0.16
,,2010 - 2011,0.41
,,2011 - 2012,0.55
,,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.34
,,2015 - 2016,0.49
,,2016 - 2017,0.4
,,2017 - 2018,0.29
,,2018 - 2019,0.11
,,2019 - 2020,0.47
,,2020 - 2021,0.65
,,2021 - 2022,0.56
,,2022 - 2023,0.55
,Bhilwara,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.05
,,2003 - 2004,0.45
,,2004 - 2005,0.51
,,2005 - 2006,0.1
,,2006 - 2007,0.24
,,2007 - 2008,0.3
,,2008 - 2009,0.22
,,2009 - 2010,0.1
,,2010 - 2011,0.47
,,2011 - 2012,0.14
,,2012 - 2013,0.16
,,2013 - 2014,0.11
,,2014 - 2015,0.17
,,2015 - 2016,0.12
,,2016 - 2017,0.28
,,2017 - 2018,0.24
,,2018 - 2019,0.31
,,2019 - 2020,0.12
,,2020 - 2021,0.16
,,2021 - 2022,0.22
,,2022 - 2023,0.26
,Bikaner,2000 - 2001,0.27
,,2001 - 2002,0.38
,,2002 - 2003,0.0
,,2003 - 2004,0.17
,,2004 - 2005,0.03
,,2005 - 2006,0.05
,,2006 - 2007,0.06
,,2007 - 2008,0.13
,,2008 - 2009,0.02
,,2009 - 2010,0.01
,,2010 - 2011,0.16
,,2011 - 2012,0.32
,,2012 - 2013,0.09
,,2013 - 2014,0.2
,,2014 - 2015,0.16
,,2015 - 2016,0.11
,,2016 - 2017,0.29
,,2017 - 2018,0.36
,,2018 - 2019,0.17
,,2019 - 2020,0.15
,,2020 - 2021,0.18
,,2021 - 2022,0.15
,,2022 - 2023,0.25
,Bundi,2000 - 2001,0.24
,,2001 - 2002,0.28
,,2002 - 2003,0.05
,,2003 - 2004,0.43
,,2004 - 2005,0.41
,,2005 - 2006,0.32
,,2006 - 2007,0.46
,,2007 - 2008,0.41
,,2008 - 2009,0.34
,,2009 - 2010,0.23
,,2010 - 2011,0.42
,,2011 - 2012,0.34
,,2012 - 2013,0.3
,,2013 - 2014,0.12
,,2014 - 2015,0.28
,,2015 - 2016,0.19
,,2016 - 2017,0.33
,,2017 - 2018,0.29
,,2018 - 2019,0.21
,,2019 - 2020,0.04
,,2020 - 2021,0.32
,,2021 - 2022,0.14
,,2022 - 2023,0.31
,Chittorgarh,2000 - 2001,0.23
,,2001 - 2002,0.32
,,2002 - 2003,0.2
,,2003 - 2004,0.33
,,2004 - 2005,0.48
,,2005 - 2006,0.32
,,2006 - 2007,0.19
,,2007 - 2008,0.34
,,2008 - 2009,0.21
,,2009 - 2010,0.27
,,2010 - 2011,0.41
,,2011 - 2012,0.19
,,2012 - 2013,0.3
,,2013 - 2014,0.16
,,2014 - 2015,0.5
,,2015 - 2016,0.16
,,2016 - 2017,0.1
,,2017 - 2018,0.39
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.26
,,2022 - 2023,0.36
,Churu,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.32
,,2007 - 2008,0.4
,,2008 - 2009,0.19
,,2009 - 2010,0.03
,,2010 - 2011,0.41
,,2011 - 2012,0.2
,,2012 - 2013,0.08
,,2013 - 2014,0.12
,,2014 - 2015,0.44
,,2015 - 2016,0.11
,,2016 - 2017,0.22
,,2017 - 2018,0.16
,,2018 - 2019,0.11
,,2019 - 2020,0.27
,,2020 - 2021,0.27
,,2021 - 2022,0.19
,,2022 - 2023,0.21
,Dausa,2000 - 2001,0.15
,,2001 - 2002,0.33
,,2002 - 2003,0.14
,,2003 - 2004,0.42
,,2004 - 2005,0.42
,,2005 - 2006,0.24
,,2006 - 2007,0.35
,,2007 - 2008,0.58
,,2008 - 2009,0.51
,,2009 - 2010,0.35
,,2010 - 2011,0.29
,,2011 - 2012,0.26
,,2012 - 2013,0.37
,,2013 - 2014,0.35
,,2014 - 2015,0.34
,,2015 - 2016,0.29
,,2016 - 2017,0.34
,,2017 - 2018,0.38
,,2018 - 2019,0.42
,,2019 - 2020,0.41
,,2020 - 2021,0.43
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Dholpur,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.77
,,2007 - 2008,0.5
,,2008 - 2009,0.53
,,2009 - 2010,0.65
,,2010 - 2011,1.33
,,2011 - 2012,0.42
,,2012 - 2013,0.26
,,2013 - 2014,0.21
,,2014 - 2015,0.57
,,2015 - 2016,0.61
,,2016 - 2017,0.7
,,2017 - 2018,0.59
,,2018 - 2019,0.52
,,2019 - 2020,0.44
,,2020 - 2021,0.51
,,2021 - 2022,0.48
,,2022 - 2023,0.46
,Dungarpur,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.32
,,2007 - 2008,0.4
,,2008 - 2009,0.17
,,2009 - 2010,0.21
,,2010 - 2011,0.41
,,2011 - 2012,0.22
,,2012 - 2013,0.13
,,2013 - 2014,0.15
,,2014 - 2015,0.37
,,2015 - 2016,0.15
,,2016 - 2017,0.35
,,2017 - 2018,0.27
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.27
,,2022 - 2023,0.36
,Ganganagar,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.06
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.15
,,2006 - 2007,0.32
,,2007 - 2008,0.4
,,2008 - 2009,0.29
,,2009 - 2010,0.16
,,2010 - 2011,0.41
,,2011 - 2012,0.57
,,2012 - 2013,0.43
,,2013 - 2014,0.3
,,2014 - 2015,0.47
,,2015 - 2016,0.31
,,2016 - 2017,0.44
,,2017 - 2018,0.37
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.3
,,2021 - 2022,0.24
,,2022 - 2023,0.58
,Hanumangarh,2000 - 2001,0.79
,,2001 - 2002,0.6
,,2002 - 2003,0.1
,,2003 - 2004,0.55
,,2004 - 2005,0.45
,,2005 - 2006,0.75
,,2006 - 2007,0.81
,,2007 - 2008,0.57
,,2008 - 2009,0.59
,,2009 - 2010,0.61
,,2010 - 2011,0.53
,,2011 - 2012,0.51
,,2012 - 2013,0.57
,,2013 - 2014,0.2
,,2014 - 2015,0.34
,,2015 - 2016,0.31
,,2016 - 2017,0.35
,,2017 - 2018,0.27
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.36
,,2022 - 2023,0.32
,Jaipur,2000 - 2001,0.23
,,2001 - 2002,0.29
,,2002 - 2003,0.07
,,2003 - 2004,0.46
,,2004 - 2005,0.28
,,2005 - 2006,0.14
,,2006 - 2007,0.22
,,2007 - 2008,0.42
,,2008 - 2009,0.48
,,2009 - 2010,0.18
,,2010 - 2011,0.35
,,2011 - 2012,0.26
,,2012 - 2013,0.19
,,2013 - 2014,0.29
,,2014 - 2015,0.26
,,2015 - 2016,0.15
,,2016 - 2017,0.33
,,2017 - 2018,0.34
