State,District,Year,Sweet potato,,,,,,,,
,,2004 - 2005,50,406,8.12,,,,,,
,,2019 - 2020,,,,40,360,9,240,"2,240.00",9.33
,27. Rayagada,2000 - 2001,"1,590.00","11,920.00",7.5,,,,,,
,,2001 - 2002,"1,610.00","12,560.00",7.8,,,,,,
,,2002 - 2003,"1,690.00","13,880.00",8.21,,,,,,
,,2003 - 2004,"1,690.00","14,160.00",8.38,,,,,,
,,2004 - 2005,"1,737.00","14,525.00",8.36,,,,,,
,,2019 - 2020,,,,170,"1,530.00",9,"1,930.00","19,200.00",9.95
,28. Sambalpur,2000 - 2001,"1,730.00","13,710.00",7.92,,,,,,
,,2001 - 2002,"1,760.00","14,060.00",7.99,,,,,,
,,2002 - 2003,"1,710.00","13,960.00",8.16,,,,,,
,,2003 - 2004,"1,750.00","14,560.00",8.32,,,,,,
,,2004 - 2005,"1,758.00","14,610.00",8.31,,,,,,
,,2019 - 2020,,,,240,"2,180.00",9.08,"1,070.00","10,270.00",9.6
,29. Sonepur,2000 - 2001,400,"3,480.00",8.7,,,,,,
,,2001 - 2002,450,"3,790.00",8.42,,,,,,
,,2002 - 2003,250,"2,000.00",8,,,,,,
,,2003 - 2004,270,"2,270.00",8.41,,,,,,
,,2004 - 2005,258,"2,179.00",8.45,,,,,,
,,2019 - 2020,,,,290,"2,620.00",9.03,780,"7,300.00",9.36
,30. Sundargarh,2000 - 2001,"2,480.00","18,090.00",7.29,,,,,,
,,2001 - 2002,"2,370.00","20,160.00",8.51,,,,,,
,,2002 - 2003,"3,120.00","24,690.00",7.91,,,,,,
,,2003 - 2004,"3,240.00","26,640.00",8.22,,,,,,
,,2004 - 2005,"3,219.00","26,495.00",8.23,,,,,,
,,2019 - 2020,,,,700,"6,380.00",9.11,"2,390.00","24,440.00",10.23
16. Puducherry,1. Pondicherry,2007 - 2008,,,,1,1,1,,,
,,2008 - 2009,,,,1,1,1,,,
,,2009 - 2010,,,,,,,1,,0
,,2010 - 2011,,,,,,,1,8,8
,,2012 - 2013,,,,2,18,9,2,24,12
,,2013 - 2014,,,,1,10,10,1,9,9
,,2014 - 2015,,,,2,23,11.5,4,60,15
,,2015 - 2016,,,,3,34,11.33,5,73,14.6
,,2016 - 2017,,,,,,,6,60,10
,,2017 - 2018,,,,1,8,8,7,35,5
,,2018 - 2019,,,,,,,3,24,8
,,2019 - 2020,,,,1,9,9,5,45,9
,,2020 - 2021,,,,1,9,9,3,27,9
,,2021 - 2022,,,,4,36,9,3,27,9
,,2022 - 2023,,,,4,36,9,1,9,9
17. Rajasthan,1. Ajmer,2000 - 2001,25,20,0.8,,,,,,
,,2001 - 2002,30,24,0.8,,,,,,
,,2002 - 2003,27,11,0.41,,,,,,
,,2003 - 2004,44,107,2.43,,,,,,
,,2004 - 2005,56,40,0.71,,,,,,
,,2005 - 2006,109,109,1,,,,,,
,,2006 - 2007,82,155,1.89,,,,,,
,,2007 - 2008,110,161,1.46,,,,,,
,,2008 - 2009,131,,0,,,,,,
,,2009 - 2010,123,,0,,,,,,
,,2010 - 2011,102,134,1.31,,,,,,
,,2011 - 2012,78,90,1.15,,,,,,
,,2012 - 2013,60,68,1.13,,,,,,
,,2013 - 2014,54,70,1.3,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,23,69,3,,,,,,
,,2016 - 2017,10,11,1.1,,,,,,
,,2017 - 2018,3,22,7.33,,,,,,
,,2018 - 2019,1,2,2,,,,,,
,,2019 - 2020,1,10,10,,,,,,
,,2020 - 2021,17,68,4,,,,,,
,,2021 - 2022,12,37,3.08,,,,,,
,,2022 - 2023,2,3,1.5,,,,,,
,2. Alwar,2001 - 2002,4,6,1.5,,,,,,
,,2002 - 2003,15,11,0.73,,,,,,
,,2003 - 2004,33,234,7.09,,,,,,
,,2004 - 2005,45,159,3.53,,,,,,
,,2005 - 2006,6,6,1,,,,,,
,,2006 - 2007,7,12,1.71,,,,,,
,,2007 - 2008,30,101,3.37,,,,,,
,,2008 - 2009,28,,0,,,,,,
,,2009 - 2010,20,,0,,,,,,
,,2010 - 2011,17,65,3.82,,,,,,
,,2011 - 2012,15,60,4,,,,,,
,,2012 - 2013,12,25,2.08,,,,,,
,,2013 - 2014,8,14,1.75,,,,,,
,,2014 - 2015,11,33,3,,,,,,
,,2015 - 2016,32,116,3.63,,,,,,
,,2016 - 2017,21,66,3.14,,,,,,
,,2018 - 2019,3,24,8,,,,,,
,,2021 - 2022,1,5,5,,,,,,
,3. Banswara,2011 - 2012,1,20,20,,,,,,
,,2012 - 2013,1,20,20,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2022 - 2023,4,20,5,,,,,,
,4. Baran,2000 - 2001,13,14,1.08,,,,,,
,,2001 - 2002,12,7,0.58,,,,,,
,,2002 - 2003,9,1,0.11,,,,,,
,,2003 - 2004,4,5,1.25,,,,,,
,,2004 - 2005,12,16,1.33,,,,,,
,,2005 - 2006,14,34,2.43,,,,,,
,,2006 - 2007,16,62,3.88,,,,,,
,,2007 - 2008,3,12,4,,,,,,
,,2008 - 2009,3,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2012 - 2013,6,5,0.83,,,,,,
,,2019 - 2020,2,5,2.5,,,,,,
,,2020 - 2021,11,28,2.55,,,,,,
,,2021 - 2022,2,5,2.5,,,,,,
,5. Barmer,2000 - 2001,21,5,0.24,,,,,,
,,2001 - 2002,18,9,0.5,,,,,,
,,2002 - 2003,27,27,1,,,,,,
,,2003 - 2004,38,39,1.03,,,,,,
,,2004 - 2005,29,21,0.72,,,,,,
,,2005 - 2006,33,34,1.03,,,,,,
,,2006 - 2007,21,21,1,,,,,,
,,2008 - 2009,18,,0,,,,,,
,,2011 - 2012,183,120,0.66,,,,,,
,,2012 - 2013,26,25,0.96,,,,,,
,,2013 - 2014,33,33,1,,,,,,
,,2014 - 2015,24,9,0.38,,,,,,
,,2015 - 2016,36,106,2.94,,,,,,
,,2016 - 2017,38,38,1,,,,,,
,,2017 - 2018,55,55,1,,,,,,
,,2018 - 2019,39,39,1,,,,,,
,,2019 - 2020,46,46,1,,,,,,
,,2020 - 2021,49,49,1,,,,,,
,,2021 - 2022,16,16,1,,,,,,
,,2022 - 2023,11,11,1,,,,,,
,6. Bharatpur,2000 - 2001,122,367,3.01,,,,,,
,,2001 - 2002,144,306,2.13,,,,,,
,,2002 - 2003,184,144,0.78,,,,,,
,,2003 - 2004,293,"1,643.00",5.61,,,,,,
,,2004 - 2005,299,"1,195.00",4,,,,,,
,,2005 - 2006,116,396,3.41,,,,,,
,,2006 - 2007,100,439,4.39,,,,,,
,,2007 - 2008,201,920,4.58,,,,,,
,,2008 - 2009,139,,0,,,,,,
,,2009 - 2010,96,,0,,,,,,
,,2010 - 2011,112,461,4.12,,,,,,
,,2011 - 2012,44,213,4.84,,,,,,
,,2012 - 2013,26,121,4.65,,,,,,
,,2013 - 2014,12,116,9.67,,,,,,
,,2014 - 2015,18,125,6.94,,,,,,
,,2015 - 2016,24,141,5.88,,,,,,
,,2016 - 2017,25,207,8.28,,,,,,
,,2017 - 2018,13,119,9.15,,,,,,
,,2018 - 2019,9,73,8.11,,,,,,
,,2019 - 2020,12,104,8.67,,,,,,
,,2020 - 2021,19,152,8,,,,,,
,,2021 - 2022,4,14,3.5,,,,,,
,,2022 - 2023,1,7,7,,,,,,
,7. Bhilwara,2000 - 2001,2,3,1.5,,,,,,
,,2001 - 2002,21,52,2.48,,,,,,
,,2002 - 2003,11,26,2.36,,,,,,
,,2003 - 2004,9,36,4,,,,,,
,,2004 - 2005,17,38,2.24,,,,,,
,,2005 - 2006,27,39,1.44,,,,,,
,,2006 - 2007,26,34,1.31,,,,,,
,,2007 - 2008,53,65,1.23,,,,,,
,,2008 - 2009,8,,0,,,,,,
,,2009 - 2010,6,,0,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,
,,2012 - 2013,4,4,1,,,,,,
,,2013 - 2014,5,7,1.4,,,,,,
,,2014 - 2015,9,11,1.22,,,,,,
,,2015 - 2016,1,2,2,,,,,,
,,2016 - 2017,2,2,1,,,,,,
,,2021 - 2022,5,6,1.2,,,,,,
,8. Bikaner,2002 - 2003,1,0,0,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2006 - 2007,2,2,1,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,2,19,9.5,,,,,,
,9. Bundi,2000 - 2001,62,52,0.84,,,,,,
,,2001 - 2002,101,98,0.97,,,,,,
,,2002 - 2003,156,58,0.37,,,,,,
,,2003 - 2004,276,103,0.37,,,,,,
,,2004 - 2005,341,"1,364.00",4,,,,,,
,,2005 - 2006,172,600,3.49,,,,,,
,,2006 - 2007,208,"1,567.00",7.53,,,,,,
,,2007 - 2008,256,"1,995.00",7.79,,,,,,
,,2008 - 2009,161,,0,,,,,,
,,2009 - 2010,109,,0,,,,,,
,,2010 - 2011,58,281,4.84,,,,,,
,,2011 - 2012,84,358,4.26,,,,,,
,,2012 - 2013,91,472,5.19,,,,,,
,,2013 - 2014,44,199,4.52,,,,,,
,,2014 - 2015,62,304,4.9,,,,,,
,,2015 - 2016,91,156,1.71,,,,,,
,,2016 - 2017,83,113,1.36,,,,,,
,,2017 - 2018,97,137,1.41,,,,,,
,,2018 - 2019,93,602,6.47,,,,,,
,,2019 - 2020,99,512,5.17,,,,,,
,,2020 - 2021,62,495,7.98,,,,,,
,,2021 - 2022,7,65,9.29,,,,,,
,,2022 - 2023,18,125,6.94,,,,,,
,10. Chittorgarh,2000 - 2001,4,6,1.5,,,,,,
,,2001 - 2002,7,6,0.86,,,,,,
,,2002 - 2003,16,50,3.13,,,,,,
,,2003 - 2004,8,30,3.75,,,,,,
,,2004 - 2005,13,41,3.15,,,,,,
,,2005 - 2006,24,136,5.67,,,,,,
,,2006 - 2007,18,77,4.28,,,,,,
,,2007 - 2008,13,103,7.92,,,,,,
,,2008 - 2009,2,,0,,,,,,
,,2010 - 2011,2,2,1,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,14,7,0.5,,,,,,
,,2013 - 2014,11,32,2.91,,,,,,
,,2014 - 2015,6,30,5,,,,,,
,,2015 - 2016,20,103,5.15,,,,,,
,,2016 - 2017,3,13,4.33,,,,,,
,,2017 - 2018,5,24,4.8,,,,,,
,,2018 - 2019,14,120,8.57,,,,,,
,,2019 - 2020,28,151,5.39,,,,,,
,,2020 - 2021,23,160,6.96,,,,,,
,,2021 - 2022,5,28,5.6,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,11. Churu,2001 - 2002,4,2,0.5,,,,,,
,,2002 - 2003,12,18,1.5,,,,,,
,,2004 - 2005,18,4,0.22,,,,,,
,,2008 - 2009,3,,0,,,,,,
,,2015 - 2016,3,3,1,,,,,,
,,2016 - 2017,4,4,1,,,,,,
,,2017 - 2018,4,6,1.5,,,,,,
,,2021 - 2022,1,15,15,,,,,,
,12. Dausa,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,3,6,2,,,,,,
,,2002 - 2003,2,7,3.5,,,,,,
,,2003 - 2004,4,17,4.25,,,,,,
,,2004 - 2005,4,6,1.5,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2006 - 2007,2,2,1,,,,,,
,,2007 - 2008,4,5,1.25,,,,,,
,,2010 - 2011,2,4,2,,,,,,
,,2013 - 2014,1,2,2,,,,,,
,13. Dholpur,2000 - 2001,14,19,1.36,,,,,,
,,2001 - 2002,24,135,5.63,,,,,,
,,2002 - 2003,27,47,1.74,,,,,,
,,2003 - 2004,39,39,1,,,,,,
,,2004 - 2005,30,31,1.03,,,,,,
,,2005 - 2006,21,,0,,,,,,
,,2006 - 2007,34,34,1,,,,,,
,,2007 - 2008,75,103,1.37,,,,,,
,,2008 - 2009,48,,0,,,,,,
,,2009 - 2010,32,,0,,,,,,
,,2010 - 2011,27,40,1.48,,,,,,
,,2011 - 2012,87,237,2.72,,,,,,
,,2012 - 2013,67,133,1.99,,,,,,
,,2013 - 2014,50,125,2.5,,,,,,
,,2014 - 2015,32,77,2.41,,,,,,
,,2015 - 2016,33,78,2.36,,,,,,
,,2016 - 2017,37,444,12,,,,,,
,,2017 - 2018,32,384,12,,,,,,
,,2018 - 2019,32,386,12.06,,,,,,
,,2019 - 2020,32,380,11.88,,,,,,
,,2020 - 2021,24,285,11.88,,,,,,
,14. Dungarpur,2006 - 2007,39,,0,,,,,,
,15. Ganganagar,2003 - 2004,1,4,4,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2017 - 2018,9,90,10,,,,,,
,,2020 - 2021,2,9,4.5,,,,,,
,16. Hanumangarh,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,1,1,1,,,,,,
,17. Jaipur,2000 - 2001,22,42,1.91,,,,,,
,,2001 - 2002,13,34,2.62,,,,,,
,,2002 - 2003,18,12,0.67,,,,,,
,,2004 - 2005,16,32,2,,,,,,
,,2005 - 2006,25,69,2.76,,,,,,
,,2006 - 2007,8,34,4.25,,,,,,
,,2007 - 2008,11,31,2.82,,,,,,
,,2008 - 2009,7,,0,,,,,,
,,2009 - 2010,5,,0,,,,,,
,,2012 - 2013,17,35,2.06,,,,,,
,,2013 - 2014,33,33,1,,,,,,
,,2014 - 2015,16,16,1,,,,,,
,,2015 - 2016,27,27,1,,,,,,
,,2016 - 2017,77,106,1.38,,,,,,
,,2017 - 2018,59,89,1.51,,,,,,
,,2018 - 2019,97,115,1.19,,,,,,
,,2019 - 2020,63,64,1.02,,,,,,
,,2020 - 2021,60,64,1.07,,,,,,
,,2021 - 2022,42,44,1.05,,,,,,
,,2022 - 2023,24,25,1.04,,,,,,
,18. Jalore,2000 - 2001,29,38,1.31,,,,,,
,,2001 - 2002,55,151,2.75,,,,,,
,,2002 - 2003,39,80,2.05,,,,,,
,,2003 - 2004,47,207,4.4,,,,,,
,,2004 - 2005,58,229,3.95,,,,,,
,,2005 - 2006,49,144,2.94,,,,,,
,,2006 - 2007,48,236,4.92,,,,,,
,,2007 - 2008,121,482,3.98,,,,,,
,,2008 - 2009,69,,0,,,,,,
,,2009 - 2010,52,,0,,,,,,
,,2010 - 2011,25,105,4.2,,,,,,
,,2011 - 2012,21,60,2.86,,,,,,
,,2012 - 2013,36,37,1.03,,,,,,
,,2013 - 2014,123,246,2,,,,,,
,,2014 - 2015,127,572,4.5,,,,,,
,,2015 - 2016,137,572,4.18,,,,,,
,,2016 - 2017,134,632,4.72,,,,,,
,,2017 - 2018,138,413,2.99,,,,,,
,,2018 - 2019,83,410,4.94,,,,,,
,,2019 - 2020,51,317,6.22,,,,,,
,,2020 - 2021,50,197,3.94,,,,,,
,,2021 - 2022,35,116,3.31,,,,,,
,,2022 - 2023,25,68,2.72,,,,,,
,19. Jhalawar,2000 - 2001,173,"1,156.00",6.68,,,,,,
,,2001 - 2002,146,366,2.51,,,,,,
,,2002 - 2003,295,272,0.92,,,,,,
,,2003 - 2004,187,679,3.63,,,,,,
,,2004 - 2005,201,781,3.89,,,,,,
,,2005 - 2006,255,"1,040.00",4.08,,,,,,
,,2006 - 2007,201,802,3.99,,,,,,
,,2007 - 2008,186,366,1.97,,,,,,
,,2008 - 2009,85,,0,,,,,,
,,2009 - 2010,121,,0,,,,,,
,,2010 - 2011,171,235,1.37,,,,,,
,,2011 - 2012,113,816,7.22,,,,,,
,,2012 - 2013,84,588,7,,,,,,
,,2013 - 2014,97,383,3.95,,,,,,
,,2014 - 2015,212,839,3.96,,,,,,
,,2015 - 2016,65,130,2,,,,,,
,,2016 - 2017,21,21,1,,,,,,
,,2017 - 2018,20,38,1.9,,,,,,
,,2018 - 2019,22,43,1.95,,,,,,
,,2019 - 2020,28,49,1.75,,,,,,
,,2020 - 2021,20,20,1,,,,,,
,,2021 - 2022,18,42,2.33,,,,,,
,,2022 - 2023,3,7,2.33,,,,,,
,20. Jhunjhunu,2000 - 2001,4,4,1,,,,,,
,,2001 - 2002,5,20,4,,,,,,
,,2002 - 2003,1,2,2,,,,,,
,,2004 - 2005,33,99,3,,,,,,
,,2005 - 2006,3,6,2,,,,,,
,,2006 - 2007,5,10,2,,,,,,
,,2007 - 2008,9,18,2,,,,,,
,,2008 - 2009,10,,0,,,,,,
,,2009 - 2010,5,,0,,,,,,
,,2010 - 2011,6,12,2,,,,,,
,,2011 - 2012,24,48,2,,,,,,
,,2012 - 2013,4,8,2,,,,,,
,,2013 - 2014,2,4,2,,,,,,
,,2014 - 2015,2,3,1.5,,,,,,
,,2015 - 2016,5,7,1.4,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,2,0,0,,,,,,
,,2022 - 2023,5,0,0,,,,,,
,21. Jodhpur,2000 - 2001,5,3,0.6,,,,,,
,,2001 - 2002,25,30,1.2,,,,,,
,,2002 - 2003,1,1,1,,,,,,
,,2003 - 2004,5,5,1,,,,,,
,,2004 - 2005,14,7,0.5,,,,,,
,,2005 - 2006,48,48,1,,,,,,
,,2007 - 2008,66,33,0.5,,,,,,
,,2008 - 2009,39,,0,,,,,,
,,2009 - 2010,14,,0,,,,,,
,,2010 - 2011,19,6,0.32,,,,,,
,,2011 - 2012,9,3,0.33,,,,,,
,,2012 - 2013,20,6,0.3,,,,,,
,,2013 - 2014,39,12,0.31,,,,,,
,,2014 - 2015,5,12,2.4,,,,,,
,,2015 - 2016,49,12,0.24,,,,,,
,,2016 - 2017,33,98,2.97,,,,,,
,,2017 - 2018,34,8,0.24,,,,,,
,,2018 - 2019,3,30,10,,,,,,
,,2019 - 2020,5,75,15,,,,,,
,,2020 - 2021,39,203,5.21,,,,,,
,,2021 - 2022,11,23,2.09,,,,,,
,,2022 - 2023,1,15,15,,,,,,
,22. Karauli,2000 - 2001,45,128,2.84,,,,,,
,,2001 - 2002,47,107,2.28,,,,,,
,,2002 - 2003,60,6,0.1,,,,,,
,,2003 - 2004,51,255,5,,,,,,
,,2004 - 2005,67,322,4.81,,,,,,
,,2005 - 2006,39,112,2.87,,,,,,
,,2006 - 2007,19,67,3.53,,,,,,
,,2007 - 2008,13,49,3.77,,,,,,
,,2008 - 2009,7,,0,,,,,,
,,2009 - 2010,9,,0,,,,,,
,,2010 - 2011,12,44,3.67,,,,,,
,,2011 - 2012,17,40,2.35,,,,,,
,,2012 - 2013,22,67,3.05,,,,,,
,,2013 - 2014,8,30,3.75,,,,,,
,,2014 - 2015,2,8,4,,,,,,
,,2015 - 2016,6,16,2.67,,,,,,
,,2016 - 2017,17,56,3.29,,,,,,
,,2017 - 2018,1,4,4,,,,,,
,,2018 - 2019,4,12,3,,,,,,
,,2019 - 2020,1,3,3,,,,,,
,,2020 - 2021,4,13,3.25,,,,,,
,,2021 - 2022,2,5,2.5,,,,,,
,,2022 - 2023,1,2,2,,,,,,
,23. Kota,2000 - 2001,8,8,1,,,,,,
,,2001 - 2002,12,12,1,,,,,,
,24. Nagaur,2000 - 2001,87,397,4.56,,,,,,
,,2001 - 2002,278,"1,157.00",4.16,,,,,,
,,2002 - 2003,321,710,2.21,,,,,,
,,2003 - 2004,513,433,0.84,,,,,,
,,2004 - 2005,551,"1,164.00",2.11,,,,,,
,,2005 - 2006,454,486,1.07,,,,,,
,,2006 - 2007,680,607,0.89,,,,,,
,,2007 - 2008,775,846,1.09,,,,,,
,,2008 - 2009,503,,0,,,,,,
,,2009 - 2010,383,,0,,,,,,
,,2010 - 2011,229,458,2,,,,,,
,,2011 - 2012,301,603,2,,,,,,
,,2012 - 2013,146,196,1.34,,,,,,
,,2013 - 2014,73,153,2.1,,,,,,
,,2014 - 2015,93,186,2,,,,,,
,,2015 - 2016,142,315,2.22,,,,,,
,,2016 - 2017,86,358,4.16,,,,,,
,,2017 - 2018,55,240,4.36,,,,,,
,,2018 - 2019,33,74,2.24,,,,,,
,,2019 - 2020,69,139,2.01,,,,,,
,,2020 - 2021,98,263,2.68,,,,,,
,,2021 - 2022,49,166,3.39,,,,,,
,,2022 - 2023,27,45,1.67,,,,,,
,25. Pali,2000 - 2001,43,18,0.42,,,,,,
,,2001 - 2002,73,75,1.03,,,,,,
,,2002 - 2003,78,43,0.55,,,,,,
,,2003 - 2004,27,35,1.3,,,,,,
,,2004 - 2005,22,19,0.86,,,,,,
,,2005 - 2006,9,6,0.67,,,,,,
,,2006 - 2007,11,10,0.91,,,,,,
,,2007 - 2008,15,15,1,,,,,,
,,2008 - 2009,15,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2010 - 2011,5,8,1.6,,,,,,
,,2011 - 2012,13,14,1.08,,,,,,
,,2012 - 2013,14,15,1.07,,,,,,
,,2014 - 2015,11,40,3.64,,,,,,
,,2015 - 2016,33,81,2.45,,,,,,
,,2016 - 2017,5,9,1.8,,,,,,
,,2017 - 2018,8,8,1,,,,,,
,,2018 - 2019,2,4,2,,,,,,
,,2019 - 2020,3,3,1,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,
,26. Pratapgarh,2013 - 2014,3,3,1,,,,,,
,,2014 - 2015,1,,0,,,,,,
,27. Rajsamand,2006 - 2007,2,6,3,,,,,,
,,2007 - 2008,7,14,2,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2017 - 2018,1,3,3,,,,,,
,28. Sawai madhopur,2000 - 2001,10,19,1.9,,,,,,
,,2001 - 2002,15,30,2,,,,,,
,,2002 - 2003,7,14,2,,,,,,
,,2003 - 2004,14,28,2,,,,,,
,,2004 - 2005,70,210,3,,,,,,
,,2005 - 2006,30,90,3,,,,,,
,,2006 - 2007,31,93,3,,,,,,
,,2007 - 2008,20,60,3,,,,,,
,,2008 - 2009,7,,0,,,,,,
,,2009 - 2010,15,,0,,,,,,
,,2010 - 2011,4,12,3,,,,,,
,,2011 - 2012,3,9,3,,,,,,
,,2013 - 2014,1,3,3,,,,,,
,,2014 - 2015,1,3,3,,,,,,
,,2015 - 2016,22,66,3,,,,,,
,,2016 - 2017,13,37,2.85,,,,,,
,,2017 - 2018,2,5,2.5,,,,,,
,,2018 - 2019,18,18,1,,,,,,
,,2019 - 2020,7,20,2.86,,,,,,
,,2020 - 2021,6,17,2.83,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,29. Sikar,2000 - 2001,92,280,3.04,,,,,,
,,2001 - 2002,153,77,0.5,,,,,,
,,2002 - 2003,126,8,0.06,,,,,,
,,2003 - 2004,187,187,1,,,,,,
,,2004 - 2005,178,356,2,,,,,,
,,2005 - 2006,83,114,1.37,,,,,,
,,2006 - 2007,72,864,12,,,,,,
,,2007 - 2008,91,910,10,,,,,,
,,2008 - 2009,62,,0,,,,,,
,,2009 - 2010,50,,0,,,,,,
,,2010 - 2011,98,490,5,,,,,,
,,2011 - 2012,152,761,5.01,,,,,,
,,2012 - 2013,120,600,5,,,,,,
,,2013 - 2014,40,495,12.38,,,,,,
,,2014 - 2015,115,"3,450.00",30,,,,,,
,,2015 - 2016,253,"7,590.00",30,,,,,,
,,2016 - 2017,195,"5,748.00",29.48,,,,,,
,,2017 - 2018,269,"8,080.00",30.04,,,,,,
,,2018 - 2019,660,"19,738.00",29.91,,,,,,
,,2019 - 2020,561,"16,830.00",30,,,,,,
,,2020 - 2021,665,"19,305.00",29.03,,,,,,
,,2021 - 2022,484,"14,520.00",30,,,,,,
,,2022 - 2023,232,"6,952.00",29.97,,,,,,
,30. Sirohi,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,10,10,1,,,,,,
,,2002 - 2003,11,9,0.82,,,,,,
,,2003 - 2004,12,12,1,,,,,,
,,2004 - 2005,15,10,0.67,,,,,,
,,2005 - 2006,8,8,1,,,,,,
,,2006 - 2007,44,27,0.61,,,,,,
,,2007 - 2008,18,18,1,,,,,,
,,2008 - 2009,8,,0,,,,,,
,,2011 - 2012,2,30,15,,,,,,
,,2012 - 2013,2,30,15,,,,,,
,,2015 - 2016,1,12,12,,,,,,
,,2018 - 2019,5,60,12,,,,,,
,,2019 - 2020,5,75,15,,,,,,
,,2020 - 2021,2,30,15,,,,,,
,,2021 - 2022,11,160,14.55,,,,,,
,,2022 - 2023,5,75,15,,,,,,
,31. Tonk,2002 - 2003,1,4,4,,,,,,
,,2003 - 2004,23,92,4,,,,,,
,,2004 - 2005,23,92,4,,,,,,
,,2005 - 2006,20,80,4,,,,,,
,,2006 - 2007,8,29,3.63,,,,,,
,,2007 - 2008,38,130,3.42,,,,,,
,,2008 - 2009,60,,0,,,,,,
,,2009 - 2010,61,,0,,,,,,
,,2010 - 2011,77,308,4,,,,,,
,,2011 - 2012,56,220,3.93,,,,,,
,,2012 - 2013,44,152,3.45,,,,,,
,,2013 - 2014,4,16,4,,,,,,
,,2016 - 2017,30,99,3.3,,,,,,
,,2017 - 2018,3,9,3,,,,,,
,,2018 - 2019,4,16,4,,,,,,
,,2019 - 2020,1,3,3,,,,,,
,,2021 - 2022,1,4,4,,,,,,
,32. Udaipur,2000 - 2001,3,3,1,,,,,,
,,2001 - 2002,2,,0,,,,,,
,,2003 - 2004,6,7,1.17,,,,,,
,,2004 - 2005,5,5,1,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,
,,2008 - 2009,2,,0,,,,,,
18. Tamil Nadu,1. Ariyalur,2008 - 2009,2,,0,,,,,,
,,2009 - 2010,2,29,14.5,,,,,,
,,2014 - 2015,1,18,18,,,,,,
,,2018 - 2019,1,25,25,,,,,,
,,2020 - 2021,3,61,20.33,,,,,,
,,2022 - 2023,3,61,20.33,,,,,,
,2. Chengalpattu,2020 - 2021,1,15,15,,,,,,
,3. Coimbatore,2003 - 2004,1,14,14,,,,,,
,,2004 - 2005,2,30,15,,,,,,
,,2006 - 2007,1,17,17,,,,,,
,,2008 - 2009,2,27,13.5,,,,,,
,,2009 - 2010,1,15,15,,,,,,
,,2013 - 2014,2,42,21,,,,,,
,,2018 - 2019,2,41,20.5,,,,,,
,,2019 - 2020,1,17,17,,,,,,
,,2020 - 2021,1,19,19,,,,,,
,,2022 - 2023,1,19,19,,,,,,
,4. Cuddalore,2002 - 2003,69,540,7.83,,,,,,
,,2003 - 2004,59,531,9,,,,,,
,,2004 - 2005,114,"1,265.00",11.1,,,,,,
,,2005 - 2006,83,945,11.39,,,,,,
,,2006 - 2007,488,"7,119.00",14.59,,,,,,
,,2007 - 2008,38,402,10.58,,,,,,
,,2008 - 2009,14,180,12.86,,,,,,
,,2009 - 2010,7,102,14.57,,,,,,
,,2011 - 2012,4,82,20.5,,,,,,
,,2013 - 2014,30,633,21.1,,,,,,
,,2014 - 2015,73,780,10.68,,,,,,
,,2015 - 2016,82,823,10.04,,,,,,
,,2016 - 2017,20,203,10.15,,,,,,
,,2017 - 2018,20,526,26.3,,,,,,
,,2018 - 2019,31,841,27.13,,,,,,
,,2019 - 2020,26,639,24.58,,,,,,
,,2020 - 2021,31,325,10.48,,,,,,
,,2021 - 2022,37,589,15.92,,,,,,
,,2022 - 2023,44,325,7.39,,,,,,
,5. Dharmapuri,2000 - 2001,55,667,12.13,,,,,,
,,2002 - 2003,27,369,13.67,,,,,,
,,2003 - 2004,1,14,14,,,,,,
,,2004 - 2005,5,76,15.2,,,,,,
,,2005 - 2006,200,"4,171.00",20.86,,,,,,
,,2006 - 2007,8,134,16.75,,,,,,
,,2007 - 2008,324,"4,423.00",13.65,,,,,,
,,2008 - 2009,61,811,13.3,,,,,,
,,2009 - 2010,377,"5,365.00",14.23,,,,,,
,,2011 - 2012,13,296,22.77,,,,,,
,,2013 - 2014,179,"3,779.00",21.11,,,,,,
,,2014 - 2015,26,457,17.58,,,,,,
,,2015 - 2016,9,328,36.44,,,,,,
